Occupation,Total with Earnings,"$1 to $2,499 or loss","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,000 to $12,499","$12,500 to $14,999","$15,000 to $17,499","$17,500 to $19,999","$20,000 to $22,499","$22,500 to $24,999","$25,000 to $27,499","$27,500 to $29,999","$30,000 to $32,499","$32,500 to $34,999","$35,000 to $37,499","$37,500 to $39,999","$40,000 to $42,499","$42,500 to $44,999","$45,000 to $47,499","$47,500 to $49,999","$50,000 to $52,499","$52,500 to $54,999","$55,000 to $57,499","$57,500 to $59,999","$60,000 to $62,499","$62,500 to $64,999","$65,000 to $67,499","$67,500 to $69,999","$70,000 to $72,499","$72,500 to $74,999","$75,000 to $77,499","$77,500 to $79,999","$80,000 to $82,499","$82,500 to $84,999","$85,000 to $87,499","$87,500 to $89,999","$90,000 to $92,499","$92,500 to $94,999","$95,000 to $97,499","$97,500 to $99,999","$100,000 and over",Median earnings,Median earnings,Mean earnings,Mean earnings,Gini ratio,Gini ratio
....Total,"79,440","3,324","2,752","2,918","2,068","3,730","1,713","3,401","2,394","4,357","2,312","4,074","1,748","4,852","1,244","3,638","1,374","3,642",937,"2,643","1,185","3,487",786,"1,803",601,"2,575",517,"1,381",463,"1,543",321,"1,210",359,"1,254",251,756,175,770,204,436,156,"6,086","32,654",420,"44,594",338,0.472,0.0032
"Management, science, and arts occupations","34,830",812,527,709,473,789,375,800,636,"1,007",614,"1,110",486,"1,466",389,"1,334",616,"1,812",477,"1,428",641,"2,214",488,"1,123",387,"1,702",349,"1,002",292,"1,115",251,950,293,971,207,624,122,623,148,352,117,"5,000","51,033",159,"62,071",603,0.414,0.004
"..Management, business, and financial operations occupations","12,376",173,121,186,113,190,90,188,145,293,182,283,114,463,142,432,244,655,146,526,193,793,156,394,153,633,120,436,113,437,100,403,112,408,76,274,33,206,68,136,45,"2,405","57,292",860,"70,552","1,030",0.391,0.0059
..Management occupations,"7,821",133,70,124,86,124,45,143,116,197,93,162,68,260,75,249,152,409,99,332,81,496,86,201,88,372,88,228,55,262,55,210,52,230,48,192,22,133,56,94,32,"1,806","60,153",993,"74,345","1,291",0.407,0.0072
"....Chief Executives, General and Operations Managers",781,8,6,13,3,2,0,18,2,16,3,21,1,18,3,10,7,51,8,22,4,26,4,15,22,20,1,24,0,23,1,16,4,9,11,6,0,3,8,3,3,366,"84,746","11,184","116,422","6,200",0.447,0.0182
....Legislators,24,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
....All other Managers,"7,017",121,65,111,84,121,45,125,114,177,90,141,67,242,72,239,145,358,92,311,77,470,82,186,65,352,87,204,55,223,54,194,48,221,37,186,22,130,48,91,28,"1,440","57,188","1,430","69,750","1,186",0.389,0.0074
..Business and financial operations occupations,"4,555",41,51,61,27,66,45,45,29,96,89,121,45,203,67,183,92,246,47,194,112,297,70,193,65,261,32,208,58,175,45,193,60,178,28,83,11,73,12,42,13,599,"55,648",698,"64,038","1,328",0.351,0.0096
....Business Operations Specialists,"2,510",29,39,41,21,25,27,14,25,46,69,65,28,140,39,107,40,131,23,109,72,122,32,90,32,125,7,99,24,107,18,116,39,90,25,40,8,49,8,19,0,370,"55,259","1,710","65,603","1,963",0.38,0.0144
....Financial Specialists,"2,044",12,11,20,5,42,18,31,4,49,21,56,17,63,29,75,52,115,24,85,40,176,38,103,33,136,25,109,34,68,27,77,20,88,3,43,3,24,4,22,13,228,"55,986",777,"62,117","1,482",0.313,0.0115
Professional and related occupations,"22,454",639,406,524,360,599,285,612,491,714,432,827,372,"1,003",247,902,372,"1,157",331,902,449,"1,420",332,729,234,"1,069",229,566,179,678,151,547,182,563,132,350,90,417,80,216,72,"2,596","47,797",596,"57,397",724,0.422,0.0056
..Computer and mathematical occupations,"1,362",15,10,14,5,23,0,8,0,12,6,57,13,25,18,31,8,33,17,29,23,76,19,31,9,80,28,58,10,50,17,38,26,74,20,58,11,26,16,25,12,331,"71,204","2,093","76,283","2,489",0.314,0.0193
"....Computer scientists, analysts, programmers, engineers, and administrators","1,234",15,10,14,5,15,0,8,0,12,6,57,13,25,18,30,5,31,17,22,16,69,19,31,8,77,25,56,10,40,17,33,24,68,20,54,11,24,15,20,10,283,"70,115","3,324","75,385","2,633",0.318,0.0206
....Actuaries,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,2,(B),(B),(B),(B),(B),(B)
"....Mathematicians, statisticians, operations research and other math occupations",119,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,3,2,0,7,7,7,0,0,0,2,2,2,0,10,0,6,1,2,0,4,0,2,0,4,2,45,"80,688","11,710","84,371","6,708",0.275,0.0328
Architecture and engineering occupations,523,2,6,11,4,8,6,10,5,6,1,5,2,10,11,24,10,11,6,3,0,22,9,9,11,33,13,20,0,25,7,32,6,28,0,21,2,23,2,12,0,109,"70,502","4,278","73,596","3,196",0.332,0.0223
"..Architects, except naval",57,0,2,0,0,1,4,1,0,0,0,2,0,0,0,0,2,0,0,0,0,9,0,0,0,11,0,1,0,6,4,0,0,10,0,0,0,4,0,0,0,0,(B),(B),(B),(B),(B),(B)
"....Surveyors, Cartographers, and phonogrammetrists",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,(B),(B),(B),(B),(B),(B)
....Engineers,320,0,0,11,4,4,3,5,2,2,0,1,0,4,6,0,4,3,0,3,0,9,9,6,8,13,13,5,0,11,1,27,0,17,0,21,2,18,2,8,0,101,"81,366","4,585","86,514","4,760",0.306,0.0293
"....Drafters, Engineering technicians, and Surveying and mapping technicians",139,2,4,1,0,3,0,5,2,5,1,3,2,6,5,24,4,8,6,0,0,3,0,2,3,6,0,13,0,8,2,5,6,2,0,0,0,2,0,0,0,7,"41,146","4,182","49,960","4,305",0.332,0.0423
"..Life, physical, and social science occupations",813,10,5,11,6,18,14,9,6,22,12,17,19,28,9,26,9,51,20,36,12,75,10,13,4,35,3,27,3,25,5,34,0,32,9,34,3,7,4,5,0,145,"52,262","2,272","65,565","2,542",0.364,0.0167
....Astronomers and Physicists,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,(B),(B),(B),(B),(B),(B)
....Economists,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,6,(B),(B),(B),(B),(B),(B)
....Psychologists and Sociologists,206,2,0,0,3,0,3,2,0,1,0,5,9,9,0,13,0,10,2,13,4,2,2,6,0,9,2,9,2,0,0,17,0,15,9,10,3,3,0,2,0,37,"66,465","8,020","71,605","4,960",0.324,0.0306
....All other scientists,449,3,0,6,2,9,11,3,5,13,3,10,9,14,5,2,5,31,15,19,6,50,6,4,4,23,1,11,1,15,5,12,0,14,0,20,0,4,4,1,0,99,"53,372","5,435","69,723","3,560",0.365,0.0201
....Science technicians,140,5,4,5,0,9,0,4,0,8,9,2,2,6,4,10,4,6,4,3,2,22,1,3,0,2,0,6,0,10,0,4,0,0,0,3,0,0,0,0,0,0,"38,945","4,934","38,617","3,518",0.321,0.0455
..Community and social services occupations,"1,959",52,33,16,29,57,19,48,46,69,58,80,32,124,44,132,49,162,59,83,63,130,44,54,19,105,19,50,30,67,6,28,18,18,9,0,5,31,4,9,2,58,"41,424",494,"44,543","1,194",0.327,0.0137
..Legal occupations,902,5,3,12,7,5,9,15,21,18,15,25,8,33,21,32,9,61,0,23,7,64,12,24,0,43,14,22,8,47,3,32,3,28,5,13,3,6,0,0,0,247,"61,338","2,056","96,760","8,494",0.503,0.0336
"....Lawyers, Judges, and Magistrates",373,0,0,0,0,0,5,0,6,5,4,7,0,0,2,6,2,25,0,5,0,5,5,4,0,11,3,3,2,32,3,9,0,10,0,10,1,6,0,0,0,203,"106,550","7,688","150,715","16,015",0.463,0.039
"....Paralegals, Legal assistants, and Legal support workers",529,5,3,12,7,5,4,14,14,13,10,18,8,33,19,26,8,36,0,18,7,59,7,20,0,32,11,19,6,15,0,23,3,18,5,3,2,0,0,0,0,43,"50,149","2,947","58,652","7,690",0.401,0.0729
"..Education, training, and library occupations","7,740",331,220,278,196,318,158,298,263,306,199,332,138,340,91,236,167,460,139,358,164,497,130,265,107,261,61,148,65,213,64,91,45,113,50,83,26,100,18,50,20,340,"39,973",781,"42,425",850,0.406,0.0092
....Postsecondary teachers,703,20,13,25,30,31,14,13,30,27,7,23,3,42,2,12,11,16,5,14,7,47,11,20,3,15,4,6,6,20,5,20,6,9,5,10,4,24,0,14,3,125,"50,308","2,999","57,542","2,829",0.443,0.0167
....All other teachers,"5,618",246,156,179,115,183,84,198,116,167,103,175,79,236,78,201,120,382,124,310,151,414,115,230,87,228,50,133,50,179,56,71,38,96,45,72,20,68,18,35,14,192,"42,439",739,"44,013",891,0.369,0.0108
"....Archivists, Curators, Museum technicians, Librarians, and Other technicians and assistants","1,419",65,52,74,50,104,61,87,117,113,89,134,56,62,11,23,36,62,9,34,6,36,4,14,16,18,7,9,8,13,3,0,2,8,0,0,3,8,0,0,2,23,"22,232",674,"28,651","2,333",0.443,0.0415
"..Arts, design, entertainment, sports, and media occupations","1,812",190,91,79,37,56,25,60,50,74,36,73,5,103,4,71,17,63,13,91,22,70,22,29,22,68,9,36,10,49,0,53,19,36,2,21,3,29,3,10,9,155,"35,798","2,168","48,890","2,954",0.538,0.0207
..Healthcare practitioner and technical occupations,"7,344",32,39,102,78,116,53,163,101,207,106,239,154,340,48,351,104,316,77,279,158,487,87,304,63,444,82,207,53,202,49,240,64,234,37,121,37,194,33,104,29,"1,212","55,303",770,"68,312","1,437",0.394,0.0088
....Doctors,602,0,0,0,0,14,1,3,0,5,4,11,8,11,0,7,0,12,0,2,7,11,0,20,0,36,0,0,0,4,0,14,3,17,0,10,0,20,1,7,2,370,"130,746","13,733","160,306","7,095",0.393,0.0139
....Nurses,"3,850",10,20,47,33,50,23,82,50,99,36,137,68,161,11,172,51,155,34,119,76,277,65,159,34,271,44,137,26,141,34,141,60,145,26,66,25,122,27,76,16,521,"57,313","1,864","63,441","1,686",0.326,0.0133
....All other health and technical occupations,"2,892",23,18,55,45,52,29,78,51,102,66,90,78,167,37,171,53,148,43,158,75,199,22,124,28,137,38,70,28,57,15,85,2,72,10,44,13,52,5,21,11,321,"47,197",752,"55,654","2,095",0.37,0.0193
Service occupations,"17,187","1,249","1,094","1,056",774,"1,469",699,"1,325",910,"1,515",665,"1,233",464,"1,261",254,693,247,520,91,250,142,219,33,125,24,208,37,52,29,94,17,59,6,60,17,16,6,37,3,28,3,203,"20,028",236,"24,848",608,0.474,0.0121
..Healthcare support occupations,"3,364",75,64,128,116,214,104,206,131,322,162,312,139,404,83,199,109,122,45,87,44,50,15,46,1,68,15,4,0,37,6,5,3,12,0,0,0,3,0,2,0,32,"26,287",355,"29,533",954,0.365,0.0173
..Protective service occupations,801,49,65,39,7,12,19,12,23,31,27,36,10,66,4,50,15,45,6,17,18,22,0,8,16,30,4,3,16,18,2,7,3,14,10,5,0,11,0,12,3,66,"35,117","3,462","41,860","2,017",0.451,0.0172
....Supervisors,45,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,0,4,0,2,0,3,4,9,0,0,4,0,0,0,0,0,0,0,0,5,0,4,0,2,(B),(B),(B),(B),(B),(B)
....Fire fighters and Police,175,0,2,5,0,0,0,0,0,4,5,0,0,10,0,0,1,7,3,2,0,7,0,0,5,21,4,0,4,12,2,5,3,12,10,0,0,4,0,6,3,37,"71,146","3,826","73,287","4,178",0.267,0.0241
....All other protective service occupations,581,49,62,34,7,11,19,12,23,28,20,36,10,56,3,48,13,34,2,11,18,13,0,6,7,0,0,3,8,6,0,2,0,2,0,4,0,2,0,3,0,28,"26,808","1,917","30,830","1,971",0.469,0.0229
..Food preparations and serving related occupations,"5,232",471,489,367,288,515,260,511,308,456,182,353,108,325,58,132,34,93,22,49,19,43,5,30,4,37,2,2,0,6,0,13,0,5,2,3,5,0,3,3,0,28,"16,103",250,"19,090",592,0.455,0.0144
....Supervisors ,383,14,9,15,12,14,9,53,17,53,17,37,11,38,3,7,4,19,0,10,10,7,0,7,2,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,"22,246","1,315","26,975","2,511",0.368,0.0492
....Chefs and Cooks,"1,102",58,74,71,38,107,76,118,78,108,48,84,29,89,10,24,7,18,5,9,2,10,3,20,0,4,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,4,"17,780",724,"19,843",756,0.377,0.0152
....All other food preparation occupations,"3,748",400,406,282,238,394,175,340,213,296,117,232,69,199,46,102,23,56,17,30,6,27,2,2,2,23,2,2,0,4,0,13,0,0,0,1,5,0,3,3,0,22,"14,725",612,"18,063",736,0.482,0.019
..Building and grounds cleaning and maintenance occupations,"2,747",177,175,129,141,293,115,215,166,299,132,209,84,166,45,108,26,86,14,27,16,31,10,4,2,20,3,12,6,2,1,13,0,6,0,0,2,3,0,0,0,10,"19,438",592,"20,689",469,0.386,0.0097
....Supervisors  ,160,2,13,0,2,4,8,8,4,17,13,12,3,14,7,7,0,13,0,5,2,1,4,4,0,9,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"27,077","3,190","30,619","2,301",0.327,0.0288
....All other maintenance occupations,"2,587",175,162,129,139,289,107,208,162,282,120,196,80,152,38,102,25,73,14,22,14,30,5,0,2,11,0,10,6,2,1,13,0,6,0,0,2,0,0,0,0,10,"18,804",584,"20,074",466,0.385,0.01
....Personal care and service occupations,"5,042",477,302,394,222,436,200,381,282,406,162,323,123,300,65,203,64,175,5,70,45,72,3,37,0,52,13,31,7,31,7,22,0,23,5,9,0,20,0,11,0,66,"18,471",486,"27,260","1,980",0.555,0.0299
....Supervisors   ,241,8,3,8,7,10,5,4,4,6,11,16,5,34,1,14,0,15,0,22,6,7,0,8,0,5,0,0,0,2,0,13,0,9,5,0,0,0,0,0,0,14,"34,012","3,962","64,742","17,669",0.598,0.1
....All other personal care and service occupations,"4,801",468,299,386,215,426,195,377,278,400,151,307,118,267,64,189,64,159,5,48,39,66,3,29,0,47,13,30,7,29,7,9,0,13,0,9,0,20,0,11,0,52,"17,800",472,"25,375","1,903",0.54,0.0315
